trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.9444544189498,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.99}",20,0,-109.65975885358965,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9801}",30,5,-46.11451623671344,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.970299}",20,0,-97.4560678828893,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.96059601}",20,0,-75.06976625270019,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9509900498999999}",20,0,-151.2689468438456,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.941480149401}",35,0,-102.12406596404621,"{0: 22, 1: 4, 2: 7, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9320653479069899}",20,0,-144.6952415914588,"{0: 9, 1: 1, 2: 7, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9227446944279201}",20,1,-56.87104565961607,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.9135172474836408}",20,0,-58.42625708205423,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.9043820750088044}",30,0,-193.51941876081057,"{0: 18, 1: 1, 2: 6, 3: 2, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.8953382542587164}",20,0,-70.84606567140604,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8863848717161292}",20,0,-108.15510756601773,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8775210229989678}",20,0,-132.6100122565157,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.8687458127689782}",25,0,-102.34079608103201,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8600583546412884}",35,0,-186.36443198527374,"{0: 17, 1: 6, 2: 9, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8514577710948755}",20,6,-29.493580221742526,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.8429431933839268}",25,0,-36.158686606807436,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8345137614500875}",20,0,-22.207486442027907,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.8261686238355866}",25,0,-141.69958663603765,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.8179069375972308}",25,0,-58.32636816896675,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
