trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.09517852896272,"{0: 14, 1: 0, 2: 1, 3: 3, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.99}",20,0,-101.0192671943206,"{0: 10, 1: 1, 2: 7, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9801}",20,0,-126.53707312479165,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.970299}",25,0,-118.46585814413119,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.96059601}",25,0,-129.42072653294161,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9509900498999999}",25,0,-174.03589681190297,"{0: 12, 1: 2, 2: 6, 3: 4, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.941480149401}",20,0,-265.86338279771365,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 6}",0
8,False,"{'a': 0.5, 'e': 0.9320653479069899}",30,0,-126.2566343683172,"{0: 21, 1: 3, 2: 1, 3: 4, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9227446944279201}",20,0,-51.226054943564904,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9135172474836408}",25,2,-86.47124369962906,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.9043820750088044}",25,0,-92.14829325806528,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.8953382542587164}",20,6,-69.61757044967938,"{0: 7, 1: 0, 2: 6, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.8863848717161292}",30,0,-67.44605874980489,"{0: 19, 1: 5, 2: 5, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.8775210229989678}",20,0,-64.59475668029405,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8687458127689782}",20,0,-76.79573852863805,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8600583546412884}",25,0,-80.89470232649866,"{0: 16, 1: 5, 2: 2, 3: 1, 4: 1}",0
