trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-28.77624903048316,"{0: 14, 1: 11, 2: 0, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.99}",25,0,-28.50445240384012,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9801}",20,0,-24.763876339774054,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.970299}",25,0,-26.058900841947008,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.96059601}",35,0,-62.60340305250822,"{0: 17, 1: 18, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9509900498999999}",25,0,-10.584986066764305,"{0: 18, 1: 7, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.941480149401}",20,0,-27.75003614428855,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9320653479069899}",25,0,-22.836612808407967,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9227446944279201}",20,0,-9.297526486352641,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9135172474836408}",20,0,-27.09785746396566,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.9043820750088044}",20,0,-10.99851256081214,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.8953382542587164}",20,0,-8.243668080249293,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.8863848717161292}",35,0,-56.896742682576345,"{0: 18, 1: 17, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.8775210229989678}",25,0,-22.41135370755901,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.8687458127689782}",20,0,-1.7225529683297576,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.8600583546412884}",20,0,-28.410943651089717,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.8514577710948755}",30,0,-16.184489957100894,"{0: 20, 1: 10, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.8429431933839268}",30,0,-30.79372653858939,"{0: 18, 1: 12, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.8345137614500875}",25,0,-11.444949543251344,"{0: 17, 1: 8, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.8261686238355866}",25,0,-49.73721985107948,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-29.546185345678754,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,0,-32.6962796101063,"{0: 14, 1: 11, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,-7.837824513048533,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,-18.44590962595739,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,-35.69389154956377,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,-39.3536883182978,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,-26.9051077282249,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,0,-40.32626270599661,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,-41.19934193552484,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-34.9969745327188,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
