trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-78.71062506152913,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.99}",25,0,-214.1332179606739,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.9801}",25,0,-120.12778309426506,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.970299}",20,0,-17.74044990658014,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.96059601}",25,0,-243.32599734224465,"{0: 8, 1: 4, 2: 7, 3: 4, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9509900498999999}",20,0,-72.61401611057401,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.941480149401}",20,0,-41.59318699476712,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9320653479069899}",30,0,-192.28812923184353,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.9227446944279201}",25,0,-261.32370775544274,"{0: 10, 1: 5, 2: 4, 3: 2, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.9135172474836408}",25,0,-153.24209664290598,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9043820750088044}",20,0,-211.4343442156851,"{0: 8, 1: 3, 2: 5, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.8953382542587164}",35,0,-229.44745731625144,"{0: 20, 1: 3, 2: 6, 3: 3, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.8863848717161292}",20,0,-189.69110996628356,"{0: 8, 1: 1, 2: 7, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.8775210229989678}",30,0,-117.68484961915584,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8687458127689782}",20,0,-133.9247245130717,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.8600583546412884}",25,0,-95.69824977825326,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8514577710948755}",30,0,-87.59661235139737,"{0: 18, 1: 4, 2: 6, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.8429431933839268}",20,0,-73.89167109401248,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8345137614500875}",20,0,-145.16405996334254,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.8261686238355866}",20,0,-70.40972945145066,"{0: 9, 1: 5, 2: 6, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-98.76005605878683,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-103.2859991947873,"{0: 9, 1: 5, 2: 3, 3: 3, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,0,-169.66589780901887,"{0: 11, 1: 8, 2: 3, 3: 0, 4: 3}",0
4,True,"{'a': 0, 'e': 0}",25,0,-121.10146394721436,"{0: 13, 1: 2, 2: 9, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,0,-150.50780274969995,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,0,-141.48600387867302,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",25,0,-107.11003056053427,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",30,0,-137.14463860994906,"{0: 18, 1: 4, 2: 6, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,0,-61.91932529322207,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-169.21941534736618,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
